fNight,PSF_deg,PSF_err_deg,number_muons
20130104,0.05325828881416608,4.912583442109984e-05,3823
20130105,0.055163120541068256,3.830528783168707e-05,6824
20130106,0.0542367871797895,3.326922072881808e-05,8691
20130107,0.05376277410437287,3.105662133717117e-05,9773
20130108,0.0532903511518598,3.826416057139386e-05,6310
20130109,0.05379823739000297,3.243968284829262e-05,8971
20130110,0.05336154496301498,3.401729461825771e-05,8008
20130111,0.054611862974043746,3.615241012776884e-05,7480
20130112,0.05185681254924237,3.294816298409959e-05,8016
20130113,0.05238129661200372,3.45634412207082e-05,7444
20130114,0.05210742816012323,3.158222085834026e-05,8815
20130115,0.051427852966870906,3.333468672943239e-05,7695
20130116,0.05278599804393473,3.519171484914066e-05,7303
20130117,0.051733738346935586,5.044822279067696e-05,3402
20130118,0.05243132966058258,4.937744400859364e-05,3655
20130119,0.05179877550082259,4.24967156351484e-05,4807
20130120,0.052034112773462524,4.912732664739641e-05,3632
20130123,0.05287203856741458,7.151154793664931e-05,1775
20130124,0.05190846224799686,0.000135353032974291,476
20130129,0.05573059687023858,0.00010732871846974714,891
20130130,0.05438817040030944,8.047697653602767e-05,1495
20130131,0.052243401008747296,7.40847220434254e-05,1611
20130201,0.05408211718535718,6.256787777099903e-05,2441
20130202,0.0541907443417961,5.548937712217367e-05,3118
20130203,0.05472335875082786,4.517800130246487e-05,4813
20130204,0.05498583852113763,3.779967276669386e-05,6954
20130205,0.054218982629654675,5.0716562179100405e-05,3737
20130206,0.053393692586549246,3.192755386993543e-05,9103
20130207,0.05407714370073943,3.385401061916731e-05,8336
20130208,0.053442675438003476,3.3281191422844707e-05,8395
20130209,0.05333162613165211,3.3812557846149354e-05,8095
20130210,0.053291037999942004,4.322013625189835e-05,4946
20130214,0.05335438338158645,4.197450489503072e-05,5258
20130215,0.05288182789252559,5.0813430425670335e-05,3517
20130216,0.052638350796710844,4.253179869666742e-05,4969
20130217,0.05267352374695201,6.599295082693559e-05,2067
20130220,0.05367419322894015,4.794006313283271e-05,4086
20130222,0.054790692918307855,9.442496414999183e-05,1105
20130302,0.05589878034458748,6.07030195960559e-05,2806
20130306,0.053475422396483875,4.821808523793377e-05,4005
20130308,0.05375958475477556,4.016592917168864e-05,5842
20130309,0.053662401135079765,3.2995887700953196e-05,8621
20130311,0.05301542333735698,3.23780971113593e-05,8711
20130312,0.05359923234650631,4.090293729403792e-05,5595
20130313,0.05311999373962579,2.6313833626731196e-05,13247
20130314,0.052431529380282164,2.6325128712545314e-05,12859
20130315,0.051283187776043675,3.336945658608493e-05,7634
20130317,0.05309570755274605,7.438583080409753e-05,1656
20130318,0.05527463430935935,6.796781893061667e-05,2178
20130319,0.05448268725999294,3.6398890685792935e-05,7338
20130320,0.054750246254012216,4.2951987077908e-05,5331
20130322,0.0556452837109178,7.052335329653828e-05,2056
20130323,0.055817451540065,6.843354991612174e-05,2200
20130324,0.0551093867755285,7.79033231181937e-05,1646
20130325,0.09325608222215737,0.005931351442400631,1
20130329,0.0589563868725805,0.0003089624043619569,124
20130330,0.05799405690174291,0.00025313364493999936,177
20130331,0.05585352215682691,4.093915100731319e-05,6157
20130401,0.05453392088441978,4.1200367227946015e-05,5740
20130405,0.05367686919590248,3.6973808432652425e-05,6870
20130406,0.05502209318736082,2.6763886297997302e-05,13893
20130407,0.05443082078055939,3.2434132995727246e-05,9221
20130408,0.054060354621894506,2.690766869999311e-05,13186
20130409,0.05200025554716608,3.127209672941529e-05,8951
20130410,0.06004502184439712,0.0003560458680669921,98
20130413,0.05427587935519113,2.5329233479659967e-05,15019
20130414,0.053640380634518724,2.5439918166949126e-05,14489
20130415,0.054320308619734206,2.629470527720745e-05,13963
20130416,0.05375858998419467,2.9379063063486346e-05,10919
20130417,0.052493796151434416,3.217041715474641e-05,8633
20130418,0.05184645679854193,3.37596897048553e-05,7632
20130419,0.05305789618040068,4.2719399156223294e-05,5013
20130427,0.05966905792573813,0.00018147057213400468,371
20130428,0.05602179666577018,6.201579061561335e-05,2703
20130429,0.055064331808844805,4.599354507428077e-05,4713
20130430,0.056294515746327864,4.9504633640730765e-05,4293
20130501,0.0556684402720013,3.609178650292224e-05,7858
20130502,0.055023862868470726,3.0845941922182775e-05,10460
20130503,0.055798455401760316,2.9268591773708505e-05,12017
20130504,0.05466744855757264,2.8949880455498426e-05,11693
20130505,0.052467670032381994,2.7564874288596207e-05,11746
20130506,0.053306577477039735,2.652720333239693e-05,13138
20130507,0.052834410017504406,2.430950566232224e-05,15336
20130508,0.053671413620968784,2.5891963830825762e-05,14006
20130509,0.053827608813110966,2.4270149574460276e-05,16047
20130510,0.05334918833334014,2.461668340533149e-05,15284
20130511,0.052672184696661045,2.393459372337106e-05,15713
20130512,0.053492807499552646,2.9187890036523625e-05,10938
20130513,0.0550570628806359,2.7676106154678635e-05,13012
20130514,0.05471335184811417,3.36109735983271e-05,8692
20130515,0.05601863922309379,3.119969016566235e-05,10678
20130516,0.058142450103966764,0.00016606039492485607,414
20130522,0.05511110132142664,0.0001636562751271711,373
20130526,0.05652520221947006,0.00011426635399015871,814
20130527,0.06083651701384802,0.00033744445461907454,113
20130528,0.05515736065112607,4.80373513032788e-05,4338
20130529,0.055719220572282714,5.015602729951891e-05,4078
20130530,0.053742014747282164,3.428081308774888e-05,8014
20130531,0.05301430738116923,3.175286659217541e-05,9057
20130601,0.05384648300495964,3.127906131783488e-05,9669
20130602,0.05459041378753164,3.1858959580256325e-05,9623
20130603,0.054274471212957705,2.775685061438396e-05,12506
20130604,0.0535545077072312,2.5865489847408672e-05,13965
20130605,0.05432120476877234,2.6267009574372336e-05,13993
20130606,0.05414179210937051,2.6099782942522835e-05,14064
20130607,0.05293794584760939,2.8789644037237445e-05,10982
20130608,0.050866900064020636,2.853523054160298e-05,10266
20130609,0.053079094653673574,2.628518550093612e-05,13253
20130610,0.04992866335505436,2.3449092936580166e-05,14649
20130611,0.04977885402561953,2.7022298303188737e-05,10967
20130613,0.052928351831734874,2.792606844045415e-05,11667
20130614,0.0532335525417,2.7249840122186204e-05,12412
20130615,0.052971887443771896,3.060455938216741e-05,9732
20130617,0.053484369489142335,3.840062934114791e-05,6317
20130618,0.053715957934950306,4.5134382237160176e-05,4618
20130619,0.05397313089517622,5.615718850913167e-05,3016
20130620,0.05318617963536265,8.427816368026111e-05,1295
20130625,0.05308953773537759,0.00011407159306420037,704
20130626,0.05458664072902489,6.811227329324963e-05,2105
20130627,0.05344564338134,4.798435365527019e-05,4039
20130628,0.052901934669973,4.06100065682611e-05,5511
20130629,0.053257103068023275,3.8671748374022674e-05,6169
20130630,0.05385387507443011,3.530722634585136e-05,7591
20130701,0.053155716027170966,3.625976840593212e-05,6987
20130702,0.05276969527566808,2.7617439155744108e-05,11850
20130703,0.05030669707130782,2.8836851143090574e-05,9831
20130704,0.051749168846223534,2.8968525031733792e-05,10324
20130705,0.052430286837737254,2.9072391945395812e-05,10543
20130706,0.05261166430577595,2.67539558958088e-05,12544
20130707,0.052034578387789875,2.6195082486272386e-05,12775
20130708,0.051146878449826176,2.546374378861472e-05,13038
20130709,0.05091878124334973,2.732478476808649e-05,11219
20130710,0.0512150897539951,2.795320479532999e-05,10849
20130711,0.051560080907328776,2.7609249063518713e-05,11278
20130712,0.051148592501986306,2.7206438682153164e-05,11422
20130713,0.05099090835985335,2.692170527901741e-05,11591
20130714,0.05187264544982033,2.9545747924543786e-05,9975
20130715,0.05231584383865469,3.4318783863961755e-05,7530
20130716,0.052147639788951594,3.767723778695829e-05,6204
20130717,0.053292520499371755,4.4494663212377206e-05,4667
20130718,0.05442697301370779,4.906328950365543e-05,4029
20130719,0.05438790009353463,7.088410515744209e-05,1927
20130726,0.05252626394501643,5.896735886647666e-05,2573
20130727,0.05268052916088718,4.836164934337338e-05,3850
20130728,0.05188733015828267,4.0534219915975284e-05,5303
20130729,0.051524419735432855,3.8057239309447514e-05,5927
20130730,0.05197617017203124,3.8863128943844924e-05,5790
20130731,0.05160420849627306,3.846147389666209e-05,5822
20130801,0.053365738466812,4.870557894252793e-05,3907
20130802,0.05195026177314297,3.118071899197537e-05,8985
20130803,0.052221963935656084,3.6072857345360514e-05,6789
20130804,0.05196042205443512,2.675554593396153e-05,12208
20130805,0.05169935583778553,2.8584021928152788e-05,10582
20130806,0.051819743942125226,2.9929087187657953e-05,9700
20130807,0.05177121624914794,2.7905007684867982e-05,11136
20130808,0.05279487232613829,2.852459919308101e-05,11120
20130809,0.05209313631135642,2.7964067311177803e-05,11237
20130810,0.0522206656928334,2.931828671684848e-05,10277
20130811,0.05182176397246036,2.7918936485297444e-05,11148
20130812,0.052810286812569954,3.1794743297131026e-05,8956
20130813,0.053300765823247324,4.061555201767813e-05,5603
20130814,0.05256505974871119,3.814726002167497e-05,6158
20130815,0.052536543716024155,4.283110612927744e-05,4879
20130816,0.05255363850583379,5.4495917069770064e-05,3016
20130817,0.054655600427667886,9.25710899924995e-05,1143
20130818,0.054800806689963094,0.00013611541455780924,532
20130824,0.05345850583206884,6.977901466981605e-05,1911
20130825,0.053218687540804915,4.852314391498773e-05,3912
20130826,0.05327479063857608,4.418076218928054e-05,4730
20130827,0.05377627783488528,3.88528461263828e-05,6248
20130828,0.0531910826632295,4.07034411423175e-05,5553
20130829,0.05231117926212922,3.971031010270859e-05,5623
20130830,0.05312318728212222,2.591473715561702e-05,13660
20130831,0.052639240276230154,2.4531529929105957e-05,14937
20130901,0.052286211216010764,2.4737334577035223e-05,14475
20130902,0.052246017772572276,2.374572422754081e-05,15683
20130903,0.05229799997377725,2.386819296594827e-05,15556
20130904,0.05403295882573643,2.499935377155265e-05,15258
20130905,0.053546128497893315,2.4227098388176523e-05,15912
20130906,0.054066282542574125,2.415405238080875e-05,16368
20130907,0.05514338963593793,2.7166024945098725e-05,13556
20130908,0.05474311808145739,2.5200379006616492e-05,15482
20130909,0.05119306840737355,2.303650801905911e-05,15960
20130910,0.05422965228641279,2.571838216566542e-05,14539
20130911,0.05392148473682279,6.690723099499282e-05,2120
20130912,0.056060044447438256,3.4720269562163626e-05,8638
20130913,0.0547955074541375,3.794255231300477e-05,6845
20130914,0.05294116354861126,3.675979937121587e-05,6737
20130915,0.054549885316520656,4.740912111864309e-05,4338
20130916,0.05652788255338562,7.190260820905655e-05,2056
20130922,0.05635025055726945,8.152108620988062e-05,1587
20130923,0.05513825161328557,5.3518784455317996e-05,3492
20130924,0.0528995819026982,4.438969341386634e-05,4612
